                   delete.json                         DELETE     /{index}/{type}/{id}
                   exists.json                         HEAD       /{index}/{type}/{id}
                   get.json                            GET        /{index}/{type}/{id}
                   index.json                          POST       /{index}/{type}/{id}
                   index.json                          PUT        /{index}/{type}/{id}
                   index.json                          POST       /{index}/{type}
                   indices.create.json                 PUT        /{index}
                   indices.delete.json                 DELETE     /{index}
                   indices.exists.json                 HEAD       /{index}
                   indices.get.json                    GET        /{index}
                   info.json                           GET        /
                   ping.json                           HEAD       /
_cat               cat.fielddata.json                  GET        /_cat/fielddata/{fields}
_cat               cat.fielddata.json                  GET        /_cat/fielddata
_cat               cat.health.json                     GET        /_cat/health
_cat               cat.help.json                       GET        /_cat
_cat               cat.indices.json                    GET        /_cat/indices/{index}
_cat               cat.indices.json                    GET        /_cat/indices
_cat               cat.master.json                     GET        /_cat/master
_cat               cat.nodeattrs.json                  GET        /_cat/nodeattrs
_cat               cat.nodes.json                      GET        /_cat/nodes
_cat               cat.pending_tasks.json              GET        /_cat/pending_tasks
_cat               cat.plugins.json                    GET        /_cat/plugins
_cat               cat.recovery.json                   GET        /_cat/recovery
_cat               cat.recovery.json                   GET        /_cat/recovery/{index}
_cat               cat.repositories.json               GET        /_cat/repositories
_cat               cat.segments.json                   GET        /_cat/segments
_cat               cat.segments.json                   GET        /_cat/segments/{index}
_cat               cat.shards.json                     GET        /_cat/shards/{index}
_cat               cat.shards.json                     GET        /_cat/shards
_cat               cat.snapshots.json                  GET        /_cat/snapshots/{repository}
_cat               cat.snapshots.json                  GET        /_cat/snapshots
_cat               cat.tasks.json                      GET        /_cat/tasks
_cat               cat.templates.json                  GET        /_cat/templates
_cat               cat.templates.json                  GET        /_cat/templates/{name}
_cat               cat.thread_pool.json                GET        /_cat/thread_pool
_cat               cat.thread_pool.json                GET        /_cat/thread_pool/{thread_pool_patterns}
_clone             indices.clone.json                  PUT        /{index}/_clone/{target}
_clone             indices.clone.json                  POST       /{index}/_clone/{target}
_close             indices.close.json                  POST       /{index}/_close
_cluster           cluster.allocation_explain.json     GET        /_cluster/allocation/explain
_cluster           cluster.allocation_explain.json     POST       /_cluster/allocation/explain
_cluster           cluster.get_settings.json           GET        /_cluster/settings
_cluster           cluster.health.json                 GET        /_cluster/health
_cluster           cluster.health.json                 GET        /_cluster/health/{index}
_cluster           cluster.pending_tasks.json          GET        /_cluster/pending_tasks
_cluster           cluster.put_settings.json           PUT        /_cluster/settings
_cluster           cluster.reroute.json                POST       /_cluster/reroute
_cluster           cluster.state.json                  GET        /_cluster/state/{metric}
_cluster           cluster.state.json                  GET        /_cluster/state/{metric}/{index}
_cluster           cluster.state.json                  GET        /_cluster/state
_cluster           cluster.stats.json                  GET        /_cluster/stats
_cluster           cluster.stats.json                  GET        /_cluster/stats/nodes/{node_id}
_cluster           nodes.hot_threads.json              GET        /_cluster/nodes/hotthreads
_cluster           nodes.hot_threads.json              GET        /_cluster/nodes/{node_id}/hotthreads
_cluster           nodes.hot_threads.json              GET        /_cluster/nodes/{node_id}/hot_threads
_cluster           nodes.hot_threads.json              GET        /_cluster/nodes/hot_threads
_count             count.json                          GET        /{index}/_count
_count             count.json                          POST       /{index}/_count
_count             count.json                          POST       /{index}/{type}/_count
_count             count.json                          GET        /{index}/{type}/_count
_count             count.json                          GET        /_count
_count             count.json                          POST       /_count
_create            create.json                         POST       /{index}/_create/{id}
_create            create.json                         POST       /{index}/{type}/{id}/_create
_create            create.json                         PUT        /{index}/_create/{id}
_create            create.json                         PUT        /{index}/{type}/{id}/_create
_delete_by_query   delete_by_query.json                POST       /{index}/{type}/_delete_by_query
_delete_by_query   delete_by_query.json                POST       /{index}/_delete_by_query
_delete_by_query   delete_by_query_rethrottle.json     POST       /_delete_by_query/{task_id}/_rethrottle
_doc               delete.json                         DELETE     /{index}/_doc/{id}
_doc               exists.json                         HEAD       /{index}/_doc/{id}
_doc               get.json                            GET        /{index}/_doc/{id}
_doc               index.json                          POST       /{index}/_doc/{id}
_doc               index.json                          POST       /{index}/_doc
_doc               index.json                          PUT        /{index}/_doc/{id}
_explain           explain.json                        POST       /{index}/_explain/{id}
_explain           explain.json                        GET        /{index}/{type}/{id}/_explain
_explain           explain.json                        POST       /{index}/{type}/{id}/_explain
_explain           explain.json                        GET        /{index}/_explain/{id}
_field_caps        field_caps.json                     POST       /_field_caps
_field_caps        field_caps.json                     GET        /_field_caps
_field_caps        field_caps.json                     GET        /{index}/_field_caps
_field_caps        field_caps.json                     POST       /{index}/_field_caps
_flush             indices.flush.json                  GET        /{index}/_flush
_flush             indices.flush.json                  POST       /_flush
_flush             indices.flush.json                  GET        /_flush
_flush             indices.flush.json                  POST       /{index}/_flush
_flush             indices.flush_synced.json           POST       /{index}/_flush/synced
_flush             indices.flush_synced.json           GET        /_flush/synced
_flush             indices.flush_synced.json           POST       /_flush/synced
_flush             indices.flush_synced.json           GET        /{index}/_flush/synced
_forcemerge        indices.forcemerge.json             POST       /_forcemerge
_forcemerge        indices.forcemerge.json             POST       /{index}/_forcemerge
_ingest            ingest.delete_pipeline.json         DELETE     /_ingest/pipeline/{id}
_ingest            ingest.get_pipeline.json            GET        /_ingest/pipeline
_ingest            ingest.get_pipeline.json            GET        /_ingest/pipeline/{id}
_ingest            ingest.processor_grok.json          GET        /_ingest/processor/grok
_ingest            ingest.put_pipeline.json            PUT        /_ingest/pipeline/{id}
_ingest            ingest.simulate.json                GET        /_ingest/pipeline/_simulate
_ingest            ingest.simulate.json                POST       /_ingest/pipeline/{id}/_simulate
_ingest            ingest.simulate.json                POST       /_ingest/pipeline/_simulate
_ingest            ingest.simulate.json                GET        /_ingest/pipeline/{id}/_simulate
_mapping           indices.exists_type.json            HEAD       /{index}/_mapping/{type}
_mapping           indices.get_field_mapping.json      GET        /{index}/_mapping/field/{fields}
_mapping           indices.get_field_mapping.json      GET        /_mapping/field/{fields}
_mapping           indices.get_field_mapping.json      GET        /{index}/_mapping/{type}/field/{fields}
_mapping           indices.get_field_mapping.json      GET        /_mapping/{type}/field/{fields}
_mapping           indices.get_mapping.json            GET        /{index}/_mapping/{type}
_mapping           indices.get_mapping.json            GET        /_mapping
_mapping           indices.get_mapping.json            GET        /_mapping/{type}
_mapping           indices.get_mapping.json            GET        /{index}/_mapping
_mapping           indices.put_mapping.json            PUT        /{index}/_mapping/{type}
_mapping           indices.put_mapping.json            POST       /{index}/_mapping/{type}
_mapping           indices.put_mapping.json            POST       /_mapping/{type}
_mapping           indices.put_mapping.json            PUT        /_mapping/{type}
_mapping           indices.put_mapping.json            PUT        {index}/_mapping
_mapping           indices.put_mapping.json            POST       {index}/_mapping
_mapping           indices.put_mapping.json            PUT        /{index}/{type}/_mapping
_mapping           indices.put_mapping.json            POST       /{index}/{type}/_mapping
_mappings          indices.put_mapping.json            PUT        {index}/_mappings
_mappings          indices.put_mapping.json            POST       {index}/_mappings
_mappings          indices.put_mapping.json            PUT        /{index}/{type}/_mappings
_mappings          indices.put_mapping.json            POST       /{index}/_mappings/{type}
_mappings          indices.put_mapping.json            PUT        /{index}/_mappings/{type}
_mappings          indices.put_mapping.json            POST       /{index}/{type}/_mappings
_mappings          indices.put_mapping.json            PUT        /_mappings/{type}
_mappings          indices.put_mapping.json            POST       /_mappings/{type}
_mget              mget.json                           POST       /{index}/{type}/_mget
_mget              mget.json                           POST       /{index}/_mget
_mget              mget.json                           POST       /_mget
_mget              mget.json                           GET        /_mget
_mget              mget.json                           GET        /{index}/{type}/_mget
_mget              mget.json                           GET        /{index}/_mget
_msearch           msearch.json                        GET        /_msearch
_msearch           msearch.json                        POST       /{index}/{type}/_msearch
_msearch           msearch.json                        GET        /{index}/{type}/_msearch
_msearch           msearch.json                        POST       /{index}/_msearch
_msearch           msearch.json                        GET        /{index}/_msearch
_msearch           msearch.json                        POST       /_msearch
_msearch           msearch_template.json               GET        /{index}/{type}/_msearch/template
_msearch           msearch_template.json               POST       /_msearch/template
_msearch           msearch_template.json               GET        /{index}/_msearch/template
_msearch           msearch_template.json               POST       /{index}/{type}/_msearch/template
_msearch           msearch_template.json               GET        /_msearch/template
_msearch           msearch_template.json               POST       /{index}/_msearch/template
_mtermvectors      mtermvectors.json                   POST       /{index}/_mtermvectors
_mtermvectors      mtermvectors.json                   GET        /_mtermvectors
_mtermvectors      mtermvectors.json                   POST       /_mtermvectors
_mtermvectors      mtermvectors.json                   GET        /{index}/{type}/_mtermvectors
_mtermvectors      mtermvectors.json                   POST       /{index}/{type}/_mtermvectors
_mtermvectors      mtermvectors.json                   GET        /{index}/_mtermvectors
_nodes             nodes.hot_threads.json              GET        /_nodes/{node_id}/hotthreads
_nodes             nodes.hot_threads.json              GET        /_nodes/hotthreads
_nodes             nodes.hot_threads.json              GET        /_nodes/hot_threads
_nodes             nodes.hot_threads.json              GET        /_nodes/{node_id}/hot_threads
_nodes             nodes.info.json                     GET        /_nodes
_nodes             nodes.info.json                     GET        /_nodes/{node_id}
_nodes             nodes.info.json                     GET        /_nodes/{metric}
_nodes             nodes.info.json                     GET        /_nodes/{node_id}/{metric}
_nodes             nodes.reload_secure_settings.json   POST       /_nodes/{node_id}/reload_secure_settings
_nodes             nodes.reload_secure_settings.json   POST       /_nodes/reload_secure_settings
_nodes             nodes.stats.json                    GET        /_nodes/{node_id}/stats/{metric}/{index_metric}
_nodes             nodes.stats.json                    GET        /_nodes/stats/{metric}/{index_metric}
_nodes             nodes.stats.json                    GET        /_nodes/stats
_nodes             nodes.stats.json                    GET        /_nodes/{node_id}/stats
_nodes             nodes.stats.json                    GET        /_nodes/stats/{metric}
_nodes             nodes.stats.json                    GET        /_nodes/{node_id}/stats/{metric}
_nodes             nodes.usage.json                    GET        /_nodes/usage/{metric}
_nodes             nodes.usage.json                    GET        /_nodes/{node_id}/usage/{metric}
_nodes             nodes.usage.json                    GET        /_nodes/{node_id}/usage
_nodes             nodes.usage.json                    GET        /_nodes/usage
_open              indices.open.json                   POST       /{index}/_open
_rank_eval         rank_eval.json                      POST       /_rank_eval
_rank_eval         rank_eval.json                      GET        /{index}/_rank_eval
_rank_eval         rank_eval.json                      POST       /{index}/_rank_eval
_rank_eval         rank_eval.json                      GET        /_rank_eval
_recovery          indices.recovery.json               GET        /_recovery
_recovery          indices.recovery.json               GET        /{index}/_recovery
_refresh           indices.refresh.json                POST       /_refresh
_refresh           indices.refresh.json                GET        /{index}/_refresh
_refresh           indices.refresh.json                POST       /{index}/_refresh
_refresh           indices.refresh.json                GET        /_refresh
_reindex           reindex.json                        POST       /_reindex
_reindex           reindex_rethrottle.json             POST       /_reindex/{task_id}/_rethrottle
_remote            cluster.remote_info.json            GET        /_remote/info
_render            render_search_template.json         GET        /_render/template/{id}
_render            render_search_template.json         POST       /_render/template/{id}
_render            render_search_template.json         GET        /_render/template
_render            render_search_template.json         POST       /_render/template
_rollover          indices.rollover.json               POST       /{alias}/_rollover/{new_index}
_rollover          indices.rollover.json               POST       /{alias}/_rollover
_scripts           delete_script.json                  DELETE     /_scripts/{id}
_scripts           get_script.json                     GET        /_scripts/{id}
_scripts           put_script.json                     POST       /_scripts/{id}/{context}
_scripts           put_script.json                     PUT        /_scripts/{id}/{context}
_scripts           put_script.json                     POST       /_scripts/{id}
_scripts           put_script.json                     PUT        /_scripts/{id}
_scripts           scripts_painless_execute.json       GET        /_scripts/painless/_execute
_scripts           scripts_painless_execute.json       POST       /_scripts/painless/_execute
_search            clear_scroll.json                   DELETE     /_search/scroll
_search            clear_scroll.json                   DELETE     /_search/scroll/{scroll_id}
_search            scroll.json                         POST       /_search/scroll
_search            scroll.json                         GET        /_search/scroll/{scroll_id}
_search            scroll.json                         GET        /_search/scroll
_search            scroll.json                         POST       /_search/scroll/{scroll_id}
_search            search.json                         POST       /_search
_search            search.json                         GET        /_search
_search            search.json                         POST       /{index}/_search
_search            search.json                         GET        /{index}/{type}/_search
_search            search.json                         POST       /{index}/{type}/_search
_search            search.json                         GET        /{index}/_search
_search            search_template.json                GET        /_search/template
_search            search_template.json                POST       /_search/template
_search            search_template.json                GET        /{index}/_search/template
_search            search_template.json                GET        /{index}/{type}/_search/template
_search            search_template.json                POST       /{index}/{type}/_search/template
_search            search_template.json                POST       /{index}/_search/template
_search_shards     search_shards.json                  GET        /{index}/_search_shards
_search_shards     search_shards.json                  GET        /_search_shards
_search_shards     search_shards.json                  POST       /{index}/_search_shards
_search_shards     search_shards.json                  POST       /_search_shards
_segments          indices.segments.json               GET        /_segments
_segments          indices.segments.json               GET        /{index}/_segments
_settings          indices.get_settings.json           GET        /_settings
_settings          indices.get_settings.json           GET        /{index}/_settings/{name}
_settings          indices.get_settings.json           GET        /_settings/{name}
_settings          indices.get_settings.json           GET        /{index}/_settings
_settings          indices.put_settings.json           PUT        /_settings
_settings          indices.put_settings.json           PUT        /{index}/_settings
_shard_stores      indices.shard_stores.json           GET        /{index}/_shard_stores
_shard_stores      indices.shard_stores.json           GET        /_shard_stores
_shrink            indices.shrink.json                 PUT        /{index}/_shrink/{target}
_shrink            indices.shrink.json                 POST       /{index}/_shrink/{target}
_snapshot          snapshot.cleanup_repository.json    POST       /_snapshot/{repository}/_cleanup
_snapshot          snapshot.create.json                PUT        /_snapshot/{repository}/{snapshot}
_snapshot          snapshot.create.json                POST       /_snapshot/{repository}/{snapshot}
_snapshot          snapshot.create_repository.json     PUT        /_snapshot/{repository}
_snapshot          snapshot.create_repository.json     POST       /_snapshot/{repository}
_snapshot          snapshot.delete.json                DELETE     /_snapshot/{repository}/{snapshot}
_snapshot          snapshot.delete_repository.json     DELETE     /_snapshot/{repository}
_snapshot          snapshot.get.json                   GET        /_snapshot/{repository}/{snapshot}
_snapshot          snapshot.get_repository.json        GET        /_snapshot/{repository}
_snapshot          snapshot.get_repository.json        GET        /_snapshot
_snapshot          snapshot.restore.json               POST       /_snapshot/{repository}/{snapshot}/_restore
_snapshot          snapshot.status.json                GET        /_snapshot/{repository}/{snapshot}/_status
_snapshot          snapshot.status.json                GET        /_snapshot/{repository}/_status
_snapshot          snapshot.status.json                GET        /_snapshot/_status
_snapshot          snapshot.verify_repository.json     POST       /_snapshot/{repository}/_verify
_source            exists_source.json                  HEAD       /{index}/_source/{id}
_source            exists_source.json                  HEAD       /{index}/{type}/{id}/_source
_source            get_source.json                     GET        /{index}/_source/{id}
_source            get_source.json                     GET        /{index}/{type}/{id}/_source
_split             indices.split.json                  POST       /{index}/_split/{target}
_split             indices.split.json                  PUT        /{index}/_split/{target}
_stats             indices.stats.json                  GET        /{index}/_stats
_stats             indices.stats.json                  GET        /_stats
_stats             indices.stats.json                  GET        /_stats/{metric}
_stats             indices.stats.json                  GET        /{index}/_stats/{metric}
_tasks             tasks.cancel.json                   POST       /_tasks/{task_id}/_cancel
_tasks             tasks.cancel.json                   POST       /_tasks/_cancel
_tasks             tasks.get.json                      GET        /_tasks/{task_id}
_tasks             tasks.list.json                     GET        /_tasks
_template          indices.delete_template.json        DELETE     /_template/{name}
_template          indices.exists_template.json        HEAD       /_template/{name}
_template          indices.get_template.json           GET        /_template
_template          indices.get_template.json           GET        /_template/{name}
_template          indices.put_template.json           PUT        /_template/{name}
_template          indices.put_template.json           POST       /_template/{name}
_termvectors       termvectors.json                    GET        /{index}/_termvectors/{id}
_termvectors       termvectors.json                    POST       /{index}/_termvectors
_termvectors       termvectors.json                    POST       /{index}/{type}/{id}/_termvectors
_termvectors       termvectors.json                    GET        /{index}/{type}/_termvectors
_termvectors       termvectors.json                    GET        /{index}/{type}/{id}/_termvectors
_termvectors       termvectors.json                    POST       /{index}/{type}/_termvectors
_termvectors       termvectors.json                    GET        /{index}/_termvectors
_termvectors       termvectors.json                    POST       /{index}/_termvectors/{id}
_update            update.json                         POST       /{index}/_update/{id}
_update            update.json                         POST       /{index}/{type}/{id}/_update
_update_by_query   update_by_query.json                POST       /{index}/_update_by_query
_update_by_query   update_by_query.json                POST       /{index}/{type}/_update_by_query
_update_by_query   update_by_query_rethrottle.json     POST       /_update_by_query/{task_id}/_rethrottle
_upgrade           indices.get_upgrade.json            GET        /{index}/_upgrade
_upgrade           indices.get_upgrade.json            GET        /_upgrade
_upgrade           indices.upgrade.json                POST       /{index}/_upgrade
_upgrade           indices.upgrade.json                POST       /_upgrade
_validate          indices.validate_query.json         GET        /_validate/query
_validate          indices.validate_query.json         POST       /{index}/{type}/_validate/query
_validate          indices.validate_query.json         POST       /_validate/query
_validate          indices.validate_query.json         GET        /{index}/{type}/_validate/query
_validate          indices.validate_query.json         POST       /{index}/_validate/query
_validate          indices.validate_query.json         GET        /{index}/_validate/query
